nom_genre,nom_espece,nom_complet,annee_espece,annee_genre,autorite_espece
Borysthenes,cougus,Borysthenes cougus,1995,1866,"Huang, 1995"
Borysthenes,deflexus,Borysthenes deflexus,1956,1866,"Fennah, 1956"
Borysthenes,diversa,Borysthenes diversa,1906,1866,"(Distant, 1906)"
Borysthenes,emarginatus,Borysthenes emarginatus,1956,1866,"Fennah, 1956"
Borysthenes,fascialatus,Borysthenes fascialatus,1922,1866,"Muir, 1922"
Borysthenes,fatalis,Borysthenes fatalis,1989,1866,"Emeljanov, 1989"
Borysthenes,finita,Borysthenes finita,1857,1866,"(Walker, 1857)"
Borysthenes,finitus,Borysthenes finitus,1857,1866,"(Walker, 1857)"
Borysthenes,fusconotata,Borysthenes fusconotata,1914,1866,"(Melichar, 1914)"
Borysthenes,fusconotatus,Borysthenes fusconotatus,1914,1866,"(Melichar, 1914)"
Borysthenes,garambensis,Borysthenes garambensis,1984,1866,"Van Stalle, 1984"
Borysthenes,guttatus,Borysthenes guttatus,1934,1866,"Kato, 1934"
Borysthenes,incertus,Borysthenes incertus,1913,1866,"Muir, 1913"
Borysthenes,lacteus,Borysthenes lacteus,1987,1866,"Tsaur & Lee, 1987"
Borysthenes,maculatus,Borysthenes maculatus,1914,1866,"(Matsumura, 1914)"
Borysthenes,magnus,Borysthenes magnus,1913,1866,"Muir, 1913"
Borysthenes,mambilensis,Borysthenes mambilensis,1984,1866,"Van Stalle, 1984"
Borysthenes,mlanjensis,Borysthenes mlanjensis,1923,1866,"Muir, 1923"
Borysthenes,nambilensis,Borysthenes nambilensis,1984,1866,"Van Stalle, 1984"
Borysthenes,nicanor,Borysthenes nicanor,1978,1866,"Fennah, 1978"
Borysthenes,ponomarenkoi,Borysthenes ponomarenkoi,1989,1866,"Emeljanov, 1989"
Borysthenes,simulans,Borysthenes simulans,1913,1866,"Muir, 1913"
Borysthenes,strigipennis,Borysthenes strigipennis,1911,1866,"Distant, 1911"
Borysthenes,suknanicus,Borysthenes suknanicus,1911,1866,"Distant, 1911"
Bothriocera,alba,Bothriocera alba,1943,1835,"Caldwell, 1943"
Bothriocera,albidipennis,Bothriocera albidipennis,1904,1835,"Fowler, 1904"
Bothriocera,basalis,Bothriocera basalis,1938,1835,"Metcalf, 1938"
Bothriocera,bicornis,Bothriocera bicornis,1803,1835,"(Fabricius, 1803)"
Bothriocera,boliviensis,Bothriocera boliviensis,1943,1835,"Caldwell, 1943"
